,date,precipitation,snow,snow_depth,max_temp,min_temp,avg_daily_wind_speed,avg_relative_humidity,avg_daily_temp,year,month,day,dayof,precip_z,snow_z,maxt_z,mint_z,ws_z,dt_z,score1,score2,score3
28,1974-12-29,0.25,0.0,0.0,59.0,42.0,,,,1974,12,29,12-29,0.30331804365765336,-0.146424826495752,0.6937961511726751,0.921948525594482,,,5.01,6.0,8.0
29,1974-12-30,0.01,0.0,0.0,57.0,50.0,,,,1974,12,30,12-30,-0.3569100450984724,-0.146424826495752,0.5336292868705481,1.6106155005616518,,,6.68,8.0,8.0
30,1974-12-31,0.11,0.0,0.0,70.0,51.0,,,,1974,12,31,12-31,-0.08181500811675337,-0.146424826495752,1.5747139048343741,1.696698872432548,,,6.68,8.0,8.0
31,1975-01-01,0.05,0.0,0.0,56.0,34.0,,,,1975,1,1,1-1,-0.2468720303057848,-0.146424826495752,0.45354585471948455,0.23328155062731226,,,6.68,8.0,8.0
32,1975-01-02,0.0,0.0,0.0,50.0,28.0,,,,1975,1,2,1-2,-0.38441954879664436,-0.146424826495752,-0.026954738186896664,-0.2832186805980651,,,3.34,4.0,8.0
33,1975-01-03,0.15,0.0,0.0,51.0,42.0,,,,1975,1,3,1-3,0.02822300667593425,-0.146424826495752,0.05312869396416687,0.921948525594482,,,5.01,6.0,8.0
34,1975-01-04,0.0,0.0,0.0,48.0,33.0,,,,1975,1,4,1-4,-0.38441954879664436,-0.146424826495752,-0.18712160248902374,0.14719817875641603,,,5.01,6.0,8.0
35,1975-01-05,0.0,0.0,0.0,52.0,24.0,,,,1975,1,5,1-5,-0.38441954879664436,-0.146424826495752,0.1332121261152304,-0.6275521680816499,,,5.01,6.0,8.0
36,1975-01-06,0.0,0.0,0.0,55.0,34.0,,,,1975,1,6,1-6,-0.38441954879664436,-0.146424826495752,0.373462422568421,0.23328155062731226,,,6.68,8.0,8.0
37,1975-01-07,0.0,0.0,0.0,63.0,30.0,,,,1975,1,7,1-7,-0.38441954879664436,-0.146424826495752,1.0141298797769294,-0.11105193685627263,,,5.01,6.0,8.0
38,1975-01-08,0.47,0.0,0.0,59.0,45.0,,,,1975,1,8,1-8,0.9085271250174353,-0.146424826495752,0.6937961511726751,1.1801986412071708,,,5.01,6.0,6.0
39,1975-01-09,0.12,0.0,0.0,66.0,35.0,,,,1975,1,9,1-9,-0.054305504418581466,-0.146424826495752,1.2543801762301199,0.31936492249820847,,,6.68,8.0,8.0
40,1975-01-10,2.26,0.0,0.0,67.0,53.0,,,,1975,1,10,1-10,5.832728286990206,-0.146424826495752,1.3344636083811834,1.8688656161743404,,,5.01,6.0,6.0
41,1975-01-11,0.0,0.0,0.0,53.0,38.0,,,,1975,1,11,1-11,-0.38441954879664436,-0.146424826495752,0.21329555826629396,0.5776150381108971,,,6.68,8.0,8.0
42,1975-01-12,0.29,3.9,0.0,40.0,22.0,,,,1975,1,12,1-12,0.4133560584503409,8.571894629525003,-0.827789059697532,-0.7997189118234425,,,0.0,0.0,2.0
43,1975-01-13,0.0,0.0,0.98,26.0,16.0,,,,1975,1,13,1-13,-0.38441954879664436,-0.146424826495752,-1.9489571098124217,-1.3162191430488197,,,3.34,4.0,4.0
44,1975-01-14,0.0,0.0,0.98,34.0,15.0,,,,1975,1,14,1-14,-0.38441954879664436,-0.146424826495752,-1.3082896526039132,-1.402302514919716,,,3.34,4.0,4.0
45,1975-01-15,0.0,0.0,0.0,49.0,26.0,,,,1975,1,15,1-15,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,-0.4553854243398575,,,3.34,4.0,8.0
46,1975-01-16,0.0,0.0,0.0,46.0,30.0,,,,1975,1,16,1-16,-0.38441954879664436,-0.146424826495752,-0.34728846679115083,-0.11105193685627263,,,3.34,4.0,8.0
47,1975-01-17,0.0,0.0,0.0,49.0,24.0,,,,1975,1,17,1-17,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,-0.6275521680816499,,,3.34,4.0,8.0
48,1975-01-18,0.15,0.0,0.0,53.0,45.0,,,,1975,1,18,1-18,0.02822300667593425,-0.146424826495752,0.21329555826629396,1.1801986412071708,,,5.01,6.0,8.0
49,1975-01-19,0.69,0.31,0.0,57.0,32.0,,,,1975,1,19,1-19,1.5137362063772173,0.5465697969315388,0.5336292868705481,0.06111480688551981,,,3.34,4.0,6.0
50,1975-01-20,0.0,0.0,0.0,33.0,25.0,,,,1975,1,20,1-20,-0.38441954879664436,-0.146424826495752,-1.388373084754977,-0.5414687962107537,,,3.34,4.0,6.0
51,1975-01-21,0.0,0.0,0.0,49.0,20.0,,,,1975,1,21,1-21,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,-0.9718856555652349,,,3.34,4.0,6.0
52,1975-01-22,0.0,0.0,0.0,49.0,28.0,,,,1975,1,22,1-22,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,-0.2832186805980651,,,3.34,4.0,8.0
53,1975-01-23,0.0,0.0,0.0,46.0,31.0,,,,1975,1,23,1-23,-0.38441954879664436,-0.146424826495752,-0.34728846679115083,-0.024968564985376408,,,3.34,4.0,8.0
54,1975-01-24,0.1,0.0,0.0,51.0,29.0,,,,1975,1,24,1-24,-0.10932451181492525,-0.146424826495752,0.05312869396416687,-0.19713530872716886,,,5.01,6.0,8.0
55,1975-01-25,0.04,0.0,0.0,59.0,47.0,,,,1975,1,25,1-25,-0.2743815340039567,-0.146424826495752,0.6937961511726751,1.3523653849489632,,,6.68,8.0,8.0
56,1975-01-26,0.0,0.0,0.0,54.0,31.0,,,,1975,1,26,1-26,-0.38441954879664436,-0.146424826495752,0.2933789904173575,-0.024968564985376408,,,5.01,6.0,8.0
57,1975-01-27,0.0,0.0,0.0,67.0,31.0,,,,1975,1,27,1-27,-0.38441954879664436,-0.146424826495752,1.3344636083811834,-0.024968564985376408,,,5.01,6.0,8.0
58,1975-01-28,0.0,0.0,0.0,75.0,61.0,,,,1975,1,28,1-28,-0.38441954879664436,-0.146424826495752,1.9751310655896916,2.55753259114151,,,6.68,8.0,8.0
59,1975-01-29,0.15,0.0,0.0,76.0,44.0,,,,1975,1,29,1-29,0.02822300667593425,-0.146424826495752,2.055214497740755,1.0941152693362746,,,5.01,6.0,8.0
60,1975-01-30,0.0,0.0,0.0,55.0,42.0,,,,1975,1,30,1-30,-0.38441954879664436,-0.146424826495752,0.373462422568421,0.921948525594482,,,6.68,8.0,8.0
61,1975-01-31,0.2,0.0,0.0,64.0,44.0,,,,1975,1,31,1-31,0.16577052516679383,-0.146424826495752,1.0942133119279929,1.0941152693362746,,,5.01,6.0,8.0
62,1975-02-01,0.68,0.0,0.0,54.0,46.0,,,,1975,2,1,2-1,1.4862267026790452,-0.146424826495752,0.2933789904173575,1.266282013078067,,,5.01,6.0,6.0
63,1975-02-02,0.28,0.0,0.0,50.0,42.0,,,,1975,2,2,2-2,0.3858465547521691,-0.146424826495752,-0.026954738186896664,0.921948525594482,,,3.34,4.0,8.0
64,1975-02-03,0.2,0.0,0.0,50.0,42.0,,,,1975,2,3,2-3,0.16577052516679383,-0.146424826495752,-0.026954738186896664,0.921948525594482,,,3.34,4.0,8.0
65,1975-02-04,0.86,0.0,0.0,47.0,45.0,,,,1975,2,4,2-4,1.9813977692461395,-0.146424826495752,-0.26720503464008727,1.1801986412071708,,,3.34,4.0,6.0
66,1975-02-05,0.45,0.0,0.0,54.0,44.0,,,,1975,2,5,2-5,0.8535081176210915,-0.146424826495752,0.2933789904173575,1.0941152693362746,,,5.01,6.0,6.0
67,1975-02-06,0.01,0.0,0.0,47.0,28.0,,,,1975,2,6,2-6,-0.3569100450984724,-0.146424826495752,-0.26720503464008727,-0.2832186805980651,,,3.34,4.0,8.0
68,1975-02-07,0.0,0.0,0.0,35.0,22.0,,,,1975,2,7,2-7,-0.38441954879664436,-0.146424826495752,-1.2282062204528497,-0.7997189118234425,,,3.34,4.0,4.0
